cluster,rank,term,ctfidf_score,discriminativeness,n_gram
7,19,did,0.004260880119201344,0.7355447553715201,1
7,20,stuff,0.004011089997801813,0.7707281405303182,1
8,1,copyright,0.04238814332460144,3.659741753846789,1
8,2,ai,0.025875510721767907,0.3841933165566953,1
8,3,human,0.018265924374870995,1.238434880537552,1
8,4,coders,0.014743708612076866,86.47315083151275,1
8,5,software,0.013786243966194418,3.0641260102882497,1
8,6,art,0.013311678926227422,0.2084844538783301,1
8,7,law,0.012702068293084692,2.8651925173958226,1
8,8,protection,0.01263262524549586,6.4854286460559285,1
8,9,works,0.012538473511563987,1.7315875041076347,1
8,10,creative,0.012228881573006853,1.1435046082912257,1
8,11,copyright protection,0.011915413277029115,31.10779705490467,2
8,12,generated,0.011061056205435056,1.0270040848008828,1
8,13,artificial,0.010900751043037447,1.405984629647616,1
8,14,intelligence,0.010526125910942607,1.2554301948502418,1
8,15,coverage,0.01051819394508362,1.0197778584642108,1
8,16,ai generated,0.010253600469008833,1.7354880488812978,2
8,17,artificial intelligence,0.009778614906254179,1.5371036170788068,2
8,18,code,0.009635501334968934,1.5498777007680817,1
8,19,created,0.00961830974385657,1.6180079649135168,1
8,20,originality,0.00900640918370423,17.92334573005855,1
9,1,internet,0.02099646148024972,6.000381144059356,1
9,2,mo ma,0.02037633672021544,21.97394106851431,2
9,3,ma,0.01920073573011242,6.6316217238348605,1
9,4,mo,0.01920073573011242,21.97394092342618,1
9,5,exhibition,0.01673552355161196,4.642516553769118,1
9,6,studio,0.016289719139983706,14.922373684088711,1
9,7,really,0.015392390685639131,0.7366771521303157,1
9,8,art,0.013993082441490121,0.21915643902292517,1
9,9,happened,0.01378453712304627,7.316597429675206,1
9,10,_light,0.012831246265007415,125.45268954532348,1
9,11,pp,0.012000459831320264,4.299570865972383,1
9,12,moved,0.01181531753403966,26.510956873261826,1
9,13,oh,0.01181531753403966,2.389794743695944,1
9,14,websites,0.01136398989507373,2.6787415955787792,1
9,15,idea,0.011194465953192095,2.6863679050292193,1
9,16,new york,0.01087965008891384,3.750238192940129,2
9,17,york,0.01087965008891384,3.0001905750355427,1
9,18,kind,0.01049823074012486,0.3384875055772862,1
9,19,clouds,0.01018816836010772,10.464059935743812,1
9,20,computer,0.010137438987129693,0.4668814284404802,1
10,1,nightshade,0.04525459206685903,241.9116353902307,1
10,2,glaze,0.04022630405943025,207.54237658128935,1
10,3,ai,0.03957504369910649,0.5876006643936513,1
10,4,yeah,0.030378108071587265,1.9956007913148193,1
10,5,artists,0.021586387472239905,1.4418957704197877,1
10,6,tools,0.016134950451387443,2.0564422661541975,1
10,7,really,0.015590168729951044,0.7461427750743551,1
10,8,image,0.014138548612313345,1.3816351950990762,1
10,9,rachel,0.010996713506530049,53.75814365461222,1
10,10,little,0.010793193736119953,2.2450508582789324,1
10,11,model,0.010793193736119953,3.0572637280171637,1
10,12,ai model,0.00973923643785322,12.433617693705003,2
10,13,defense,0.00932734872298106,7.977123500770816,1
10,14,sounds like,0.00932734872298106,17.29520376471985,2
10,15,little bit,0.009307143451984155,1.9956007616354536,2
10,16,train,0.009307143451984155,3.8914214059227366,1
10,17,absolutely,0.008943869078681598,2.754901875927475,1
