hidden_layer_sizes,alpha,lr,n_params,r2_train,r2_val,cv_r2_mean,cv_r2_std,knn_preservation_k15,cluster_agreement,cluster_ari,min_cluster_r2,mean_cluster_r2,max_mae_dim,n_iter,composite,min_cluster_r2_clipped,composite_fixed
"(128,)",0.01,0.0005,131845,0.94223,0.39016,0.33275,0.15653,0.16398,0.32184,0.11723,-234942880.0,-13826852.94177,4.2097,62,,0.0,0.3939373410969932
"(128,)",0.001,0.0005,131845,0.94211,0.38855,0.31698,0.15424,0.16194,0.32184,0.11646,-235563728.0,-13863378.5303,4.21661,62,,0.0,0.39126921035964396
"(128,)",1e-06,0.0005,131845,0.94209,0.3884,0.31682,0.15427,0.16194,0.32184,0.11646,-235620144.0,-13866697.22445,4.21724,62,,0.0,0.3911889233165282
"(128,)",0.0001,0.0005,131845,0.94209,0.38841,0.31682,0.15427,0.16169,0.32184,0.11646,-235615920.0,-13866448.50983,4.21716,62,,0.0,0.3910292887457201
"(128,)",1e-05,0.0005,131845,0.94209,0.3884,0.31682,0.15427,0.16169,0.32184,0.11646,-235612704.0,-13866259.17373,4.21729,62,,0.0,0.39102597902175107
"(128,)",1e-06,0.0001,131845,0.94011,0.37436,0.3002,0.15682,0.16424,0.31801,0.1238,-236144160.0,-13897385.94337,4.19248,162,,0.0,0.384066750498527
"(128,)",0.0001,0.0001,131845,0.94011,0.37433,0.30019,0.15688,0.16424,0.31801,0.1238,-236024272.0,-13890329.8929,4.19251,162,,0.0,0.38403037472567736
"(128,)",1e-05,0.0001,131845,0.94011,0.37434,0.29989,0.15686,0.16424,0.31801,0.1238,-236089168.0,-13894150.79422,4.19246,162,,0.0,0.3840084133733384
"(128,)",0.01,0.0001,131845,0.94019,0.37508,0.3014,0.15688,0.1645,0.31418,0.12551,-235785984.0,-13876298.59127,4.18864,162,,0.0,0.38355349846553727
"(128,)",0.001,0.0001,131845,0.94012,0.37441,0.30034,0.15681,0.16398,0.31418,0.12551,-236146272.0,-13897503.79415,4.19148,162,,0.0,0.38290325032500433
